DAT,RBD,stvarnaVrijednost,predvidjenaVrijednost
2015-07-01,183.0,0.0,0.0
2015-07-02,184.0,0.0,0.0
2015-07-03,185.0,0.0,0.0
2015-07-04,186.0,0.0,0.0
2015-07-05,187.0,0.0,0.0
2015-07-06,188.0,0.0,0.0
2015-07-07,189.0,0.0,0.0
2015-07-08,190.0,0.0,0.0
2015-07-09,191.0,0.0,0.0
2015-07-10,192.0,0.0,0.0
2015-07-11,193.0,0.0,0.0
2015-07-12,194.0,0.0,0.0
2015-07-13,195.0,0.0,0.0
2015-07-14,196.0,0.0,0.0
2015-07-15,197.0,0.0,0.5882352941176471
2015-07-16,198.0,0.0,0.375
2015-07-17,199.0,0.0,0.2
2015-07-18,200.0,1.0,0.2
2015-07-19,201.0,0.0,1.0
2015-07-20,202.0,1.0,1.0
2015-07-21,203.0,0.0,0.5882352941176471
2015-07-22,204.0,0.0,0.375
2015-07-23,205.0,2.0,0.2
2015-07-24,206.0,1.0,0.2
2015-07-25,207.0,1.0,0.5882352941176471
2015-07-26,208.0,2.0,0.375
2015-07-27,209.0,1.0,0.2
2015-07-28,210.0,1.0,0.2
2015-07-29,211.0,1.0,0.5882352941176471
2015-07-30,212.0,11.0,0.375
2015-07-31,213.0,5.0,0.2
2015-08-01,214.0,4.0,2.75
2015-08-02,215.0,5.0,2.25
2015-08-03,216.0,6.0,3.4
2015-08-04,217.0,14.0,8.846153846153847
2015-08-05,218.0,22.0,0.375
2015-08-06,219.0,12.0,8.846153846153847
2015-08-07,220.0,5.0,0.0
2015-08-08,221.0,5.0,8.846153846153847
2015-08-09,222.0,6.0,7.545454545454546
2015-08-10,223.0,56.0,23.88888888888889
2015-08-11,224.0,60.0,15.0
2015-08-12,225.0,37.0,16.608695652173914
2015-08-13,226.0,42.0,31.333333333333332
2015-08-14,227.0,65.0,28.0
2015-08-15,228.0,67.0,28.0
2015-08-16,229.0,37.0,53.94444444444444
2015-08-17,230.0,39.0,128.0
2015-08-18,231.0,18.0,28.0
2015-08-19,232.0,48.0,53.94444444444444
2015-08-20,233.0,451.0,40.285714285714285
2015-08-21,234.0,282.0,28.0
2015-08-22,235.0,56.0,89.0
2015-08-23,236.0,118.0,27.0
2015-08-24,237.0,134.0,31.333333333333332
2015-08-25,238.0,161.0,23.88888888888889
2015-08-26,239.0,318.0,53.94444444444444
2015-08-27,240.0,410.0,202.0
2015-08-28,241.0,183.0,153.5
2015-08-29,242.0,448.0,98.0
2015-08-30,243.0,299.0,454.1666666666667
2015-08-31,244.0,490.0,397.0
2015-09-01,245.0,608.0,454.1666666666667
2015-09-02,246.0,446.0,401.0
2015-09-03,247.0,565.0,296.0
2015-09-04,248.0,270.0,296.0
2015-09-05,249.0,269.0,296.0
2016-07-01,183.0,0.0,0.0
2016-07-02,184.0,0.0,0.0
2016-07-03,185.0,0.0,0.0
2016-07-04,186.0,0.0,0.0
2016-07-05,187.0,0.0,0.0
2016-07-06,188.0,0.0,0.0
2016-07-07,189.0,0.0,0.0
2016-07-08,190.0,0.0,0.0
2016-07-09,191.0,0.0,0.0
2016-07-10,192.0,0.0,0.0
2016-07-11,193.0,0.0,0.5882352941176471
2016-07-12,194.0,1.0,0.375
2016-07-13,195.0,0.0,0.2
2016-07-14,196.0,0.0,0.2
2016-07-15,197.0,0.0,0.3333333333333333
2016-07-16,198.0,0.0,0.0
2016-07-17,199.0,0.0,0.0
2016-07-18,200.0,1.0,0.0
2016-07-19,201.0,0.0,0.0
2016-07-20,202.0,1.0,0.0
2016-07-21,203.0,0.0,0.0
2016-07-22,204.0,0.0,0.5882352941176471
2016-07-23,205.0,2.0,0.375
2016-07-24,206.0,1.0,0.2
2016-07-25,207.0,1.0,0.5882352941176471
2016-07-26,208.0,2.0,0.375
2016-07-27,209.0,1.0,0.2
2016-07-28,210.0,1.0,0.2
2016-07-29,211.0,1.0,0.5882352941176471
2016-07-30,212.0,11.0,0.375
2016-07-31,213.0,5.0,0.2
2016-08-01,214.0,4.0,2.75
2016-08-02,215.0,5.0,8.846153846153847
2016-08-03,216.0,6.0,14.0
2016-08-04,217.0,14.0,16.608695652173914
2016-08-05,218.0,22.0,14.0
2016-08-06,219.0,12.0,8.846153846153847
2016-08-07,220.0,5.0,40.285714285714285
2016-08-08,221.0,5.0,28.0
2016-08-09,222.0,6.0,28.0
2016-08-10,223.0,56.0,16.608695652173914
2016-08-11,224.0,60.0,40.285714285714285
2016-08-12,225.0,37.0,76.83333333333333
2016-08-13,226.0,42.0,89.0
2016-08-14,227.0,65.0,129.0
2016-08-15,228.0,67.0,168.0
2016-08-16,229.0,37.0,168.0
2016-08-17,230.0,39.0,53.94444444444444
2016-08-18,231.0,18.0,128.0
2016-08-19,232.0,48.0,28.0
2016-08-20,233.0,451.0,89.0
2016-08-21,234.0,282.0,53.94444444444444
2016-08-22,235.0,56.0,202.0
2016-08-23,236.0,118.0,188.66666666666666
2016-08-24,237.0,134.0,261.0
2016-08-25,238.0,161.0,103.0
2016-08-26,239.0,318.0,103.0
2016-08-27,240.0,410.0,311.3333333333333
2016-08-28,241.0,183.0,128.0
2016-08-29,242.0,448.0,311.3333333333333
2016-08-30,243.0,299.0,205.27272727272728
2016-08-31,244.0,490.0,296.0
2015-09-06,250.0,193.0,97.0
2015-09-07,251.0,262.0,249.72727272727272
2015-09-08,252.0,170.0,210.71428571428572
2015-09-09,253.0,242.0,154.16666666666666
2015-09-10,254.0,97.0,134.0
2015-09-11,255.0,262.0,73.0
2015-09-12,256.0,59.0,11.0
2015-09-13,257.0,154.0,14.642857142857142
2015-09-14,258.0,145.0,8.818181818181818
2015-09-15,259.0,74.0,76.19047619047619
2015-09-16,260.0,55.0,74.2
2015-09-17,261.0,75.0,154.16666666666666
2015-09-18,262.0,18.0,37.666666666666664
2015-09-19,263.0,30.0,11.0
2015-09-20,264.0,40.0,32.07142857142857
2015-09-21,265.0,52.0,14.642857142857142
2015-09-22,266.0,23.0,8.818181818181818
2015-09-23,267.0,53.0,7.875
2015-09-24,268.0,35.0,9.923076923076923
2015-09-25,269.0,31.0,14.642857142857142
2015-09-26,270.0,34.0,6.384615384615385
2015-09-27,271.0,9.0,7.875
2015-09-28,272.0,3.0,11.0
2015-09-29,273.0,3.0,2.9166666666666665
2015-09-30,274.0,1.0,2.75
2015-10-01,275.0,0.0,4.5
2015-10-02,276.0,5.0,2.5
2015-10-03,277.0,5.0,1.5714285714285714
2015-10-04,278.0,8.0,4.5
2015-10-05,279.0,3.0,2.5
2015-10-06,280.0,2.0,1.5714285714285714
2015-10-07,281.0,0.0,1.5
2015-10-08,282.0,0.0,1.5
2015-10-09,283.0,0.0,1.0555555555555556
2015-10-10,284.0,0.0,1.8333333333333333
2015-10-11,285.0,0.0,1.0555555555555556
2015-10-12,286.0,37.0,1.8333333333333333
2015-10-13,287.0,42.0,1.3333333333333333
2015-10-14,288.0,65.0,1.3333333333333333
2015-10-15,289.0,67.0,1.0555555555555556
2015-10-16,290.0,37.0,1.8333333333333333
