DAT,RBD,stvarnaVrijednost,predvidjenaVrijednost
2015-03-01,61.0,0.0,0.0
2015-03-02,62.0,0.0,0.0
2015-03-03,63.0,0.0,0.0
2015-03-04,64.0,0.0,0.0
2015-03-05,65.0,0.0,0.0
2015-03-06,66.0,0.0,0.0
2015-03-07,67.0,0.0,0.0
2015-03-08,68.0,0.0,0.0
2015-03-09,69.0,0.0,0.0
2015-03-10,70.0,0.0,0.0
2015-03-11,71.0,0.0,0.0
2015-03-12,72.0,0.0,0.0
2015-03-13,73.0,0.0,0.0
2015-03-14,74.0,0.0,0.0
2015-03-15,75.0,0.0,0.0
2015-03-16,76.0,0.0,0.0
2015-03-17,77.0,0.0,0.0
2015-03-18,78.0,0.0,0.0
2015-03-19,79.0,0.0,0.0
2015-03-20,80.0,0.0,0.0
2015-03-21,81.0,0.0,0.0
2015-03-22,82.0,0.0,0.0
2015-03-23,83.0,0.0,0.0
2015-03-24,84.0,0.0,2.0
2015-03-25,85.0,1.0,2.0
2015-03-26,86.0,0.0,2.0
2015-03-27,87.0,5.0,2.0
2015-03-28,88.0,4.0,8.357142857142858
2015-03-29,89.0,1.0,6.5
2015-03-30,90.0,19.0,3.6666666666666665
2015-03-31,91.0,139.0,8.357142857142858
2015-04-01,92.0,38.0,52.666666666666664
2015-04-02,93.0,40.0,14.777777777777779
2015-04-03,94.0,43.0,37.0
2015-04-04,95.0,9.0,2.0
2015-04-05,96.0,5.0,29.4
2015-04-06,97.0,17.0,1.0
2015-04-07,98.0,16.0,8.357142857142858
2015-04-08,99.0,37.0,6.5
2015-04-09,100.0,88.0,14.0
2015-04-10,101.0,183.0,46.63636363636363
2015-04-11,102.0,621.0,95.66666666666667
2015-04-12,103.0,1488.0,242.0
2015-04-13,104.0,823.0,930.0
2015-04-14,105.0,400.0,231.0
2015-04-15,106.0,396.0,231.0
2015-04-16,107.0,402.0,231.0
2015-04-17,108.0,107.0,173.66666666666666
2015-04-18,109.0,33.0,44.6
2015-04-19,110.0,31.0,16.0
2015-04-20,111.0,30.0,16.0
2015-04-21,112.0,60.0,16.0
2015-04-22,113.0,193.0,37.0
2015-04-23,114.0,10.0,52.666666666666664
2015-04-24,115.0,14.0,1.5
2015-04-25,116.0,5.0,8.357142857142858
2015-04-26,117.0,6.0,6.5
2015-04-27,118.0,14.0,5.5
2015-04-28,119.0,36.0,6.5
2015-04-29,120.0,10.0,33.0
2015-04-30,121.0,7.0,0.0
2015-05-01,122.0,2.0,0.0
2015-05-02,123.0,2.0,2.0
2015-05-03,124.0,1.0,2.0
2015-05-04,125.0,1.0,2.0
2015-05-05,126.0,0.0,2.0
2015-05-06,127.0,5.0,2.0
2015-05-07,128.0,2.0,5.5
2015-05-08,129.0,0.0,5.75
2015-05-09,130.0,1.0,1.4
2015-05-10,131.0,1.0,5.5
2015-05-11,132.0,2.0,5.75
2015-05-12,133.0,1.0,1.4
2015-05-13,134.0,2.0,3.5
2015-05-14,135.0,2.0,5.5
2015-05-15,136.0,0.0,5.75
2015-05-16,137.0,0.0,1.4
2015-05-17,138.0,1.0,3.5
2015-05-18,139.0,1.0,5.5
2015-05-19,140.0,0.0,0.0
2015-05-20,141.0,0.0,0.0
2015-05-21,142.0,0.0,0.0
2015-05-22,143.0,0.0,0.0
2015-05-23,144.0,0.0,0.0
2015-05-24,145.0,0.0,0.0
2015-05-25,146.0,0.0,0.0
